personID,label,fullname,years,gender
48298,"Adams, John","Adams, John (1735-1826)",1735-1826,Man
58180,"Smith, Isaac, Jr.","Smith, Isaac, Jr. (1749-1829, cousin of AA)",1749-1829,Man
365436,"Cooper, Samuel","Cooper, Samuel (b. 1759)",1759-,Man
52222,"Franklin, Benjamin","Franklin, Benjamin (1706-1790)",1706-1790,Man
254155,"Hewson, Mary ""Polly"" Stevenson","Hewson, Mary ""Polly"" Stevenson",,Woman
52160,"Forster, Johann","Forster, Johann (John) Reinhold (1729-1798)",1729-1798,Man
53591,"Horry, Harriott Pinckney","Horry, Harriott Pinckney (1748-1830)",1748-1830,Woman
338365,"Martin, Elizabeth Trapier","Martin, Elizabeth Trapier (1745-1817)",1745-1817,Woman
338099,"Blake, Elizabeth Izard,","Blake, Elizabeth Izard, (Mrs. Daniel) (d. 1792)",-1792,Woman
56849,"Pinckney, Thomas","Pinckney, Thomas (1750-1828)",1750-1828,Man
57634,"Rush, Benjamin","Rush, Benjamin (1746-1813)",1746-1813,Man
251896,"Franklin, Deborah","Franklin, Deborah (1708-1774)",1708-1774,Woman
49388,"Bowdoin, James, Jr.","Bowdoin, James, Jr. (1752-1811)",1752-1811,Man
59627,"Washington, George","Washington, George (1732-1799)",1732-1799,Man
49367,"Boucher, Jonathan","Boucher, Jonathan (1738-1804)",1738-1804,Man
304845,"Hawkesworth, John","Hawkesworth, John",1715-1773,Man
55840,"Moore, Bernard","Moore, Bernard (1720-1775)",1720-1775,Man
250648,"Foxcroft, John","Foxcroft, John (1740-1802, 2)",1740-1802,Man
60052,"Williams, Jonathan","Williams, Jonathan (1719-1796)",1719-1796,Man
RN-ORG-0248,,,,
RN-ORG-0348,,,,
59617,"Washington, Charles","Washington, Charles (1738-1799)",1738-1799,Man
348988,"Henly, William","Henly, William",-1779,Man
54327,"Knox, William","Knox, William (1732-1810)",1732-1810,Man
348674,"Garrigues, Isaac","Garrigues, Isaac",1741-,Man
51018,"Cushing, Thomas","Cushing, Thomas (1725-1788)",1725-1788,Man
278442,"Winthrop, John","Winthrop, John (1747-1800)",1747-1800,Man
49790,"Bullitt, Thomas","Bullitt, Thomas (1730-1778)",1730-1778,Man
298977,"Evans, Cadwalader","Evans, Cadwalader (1749-1821)",1749-1821,Man
128909,"Rhoads, Samuel","Rhoads, Samuel (1711-1784)",1711-1784,Man
350648,"Sherwood, Joseph","Sherwood, Joseph",1708-1773,Man
348621,"French, Katherine","French, Katherine",,Woman
RN-BUS-0067,,,,
53967,"Jefferson, Thomas","Jefferson, Thomas (1743-1826)",1743-1826,Man
239913,"Adams, Thomas","Adams, Thomas (1730-1788)",1730-1788,Man
56342,"Ogilvie, James","Ogilvie, James (1760-1820)",1760-1820,Man
48276,"Adams, Abigail Smith","Adams, Abigail Smith (1744-1818)",1744-1818,Woman
348128,"Deane, Mrs.","Deane, Mrs.",,Woman
348249,"Drage, Theodorus Swaine","Drage, Theodorus Swaine",1712-1774,Man
54102,"Jones, Noble Wimberly","Jones, Noble Wimberly (1723-1805)",1723-1805,Man
RN-PER-0814,,,,
