DocumentID,Title,Author,Recipient,Date,Publication,Founders Online,Rotunda,authorIDs,recipientIDs,Location,geonameId,coordinates,latitude,longitude,country_code,country_name,admin1,admin2,hierarchy
BNFN-01-23-02-0060,"——— to Benjamin Franklin: a Memorandum, [December? 1776]",——,"Franklin, Benjamin",1776-12-01,BNFN,https://founders.archives.gov/documents/Franklin/01-23-02-0060,https://rotunda.upress.virginia.edu/founders/BNFN-01-23-02-0060,,52222,,,,,,,,,,
BNFN-01-27-02-0173,"——— to Benjamin Franklin, [before or during July 1778]",——,"Franklin, Benjamin",1778-06-18,BNFN,https://founders.archives.gov/documents/Franklin/01-27-02-0173,https://rotunda.upress.virginia.edu/founders/BNFN-01-27-02-0173,,52222,,,,,,,,,,
BNFN-01-27-02-0567,"——— to Benjamin Franklin, 21 October 1778",——,"Franklin, Benjamin",1778-10-21,BNFN,https://founders.archives.gov/documents/Franklin/01-27-02-0567,https://rotunda.upress.virginia.edu/founders/BNFN-01-27-02-0567,,52222,,,,,,,,,,
BNFN-01-34-02-0398,"——— to Benjamin Franklin, 2 April 1781",——,"Franklin, Benjamin",1781-04-02,BNFN,https://founders.archives.gov/documents/Franklin/01-34-02-0398,https://rotunda.upress.virginia.edu/founders/BNFN-01-34-02-0398,,52222,Paris [France],2988507,"48.85341, 2.34880",48.85341,2.3488,FR,France,Île-de-France,Paris,France > Île-de-France > Paris
BNFN-01-36-02-0171,"——— to Benjamin Franklin, 14 December 1781",——,"Franklin, Benjamin",1781-12-14,BNFN,https://founders.archives.gov/documents/Franklin/01-36-02-0171,https://rotunda.upress.virginia.edu/founders/BNFN-01-36-02-0171,,52222,Nantes [France],2990969,"47.21725, -1.55336",47.21725,-1.55336,FR,France,Pays de la Loire,Loire-Atlantique,France > Pays de la Loire > Loire-Atlantique
BNFN-01-37-02-0200,"——— to Benjamin Franklin, 8 May 1782",——,"Franklin, Benjamin",1782-05-08,BNFN,https://founders.archives.gov/documents/Franklin/01-37-02-0200,https://rotunda.upress.virginia.edu/founders/BNFN-01-37-02-0200,,52222,Ghent [Belgium],2797656,"51.05000, 3.71667",51.05,3.71667,BE,Belgium,Flanders,Provincie Oost-Vlaanderen,Belgium > Flanders > Provincie Oost-Vlaanderen
BNFN-01-22-02-0084,"“a Freeman and Associator to Benjamin Franklin,” [between 3 and 19 August? 1775]",“A Freeman and Associator”,"Franklin, Benjamin",1775-08-03,BNFN,https://founders.archives.gov/documents/Franklin/01-22-02-0084,https://rotunda.upress.virginia.edu/founders/BNFN-01-22-02-0084,RN-PER-0827,52222,,,,,,,,,,
GEWN-03-26-02-0041-0003,"II. “Amicus Reipublicae” to John Mercereau, 17 May 1780",“Amicus Reipublicae”,"Mersereau, John",1780-05-17,GEWN,https://founders.archives.gov/documents/Washington/03-26-02-0041-0003,https://rotunda.upress.virginia.edu/founders/GEWN-03-26-02-0041-0003,RN-PER-0828,55648,"Staten Island, Richmond County [N.Y.]",5139568,"40.56233, -74.13986",40.56233,-74.13986,US,United States,New York,Richmond County,United States > New York > Richmond County
GEWN-03-26-02-0041-0004,"III. “Amicus Reipublicae” to John Mercereau, 20 May 1780",“Amicus Reipublicae”,"Mersereau, John",1780-05-20,GEWN,https://founders.archives.gov/documents/Washington/03-26-02-0041-0004,https://rotunda.upress.virginia.edu/founders/GEWN-03-26-02-0041-0004,RN-PER-0828,55648,,,,,,,,,,
GEWN-03-26-02-0041-0006,"V. “Amicus Reipublicae” to John Mercereau, c.27 May 1780",“Amicus Reipublicae”,"Mersereau, John",1780-05-27,GEWN,https://founders.archives.gov/documents/Washington/03-26-02-0041-0006,https://rotunda.upress.virginia.edu/founders/GEWN-03-26-02-0041-0006,RN-PER-0828,55648,,,,,,,,,,
GEWN-03-26-02-0041-0008,"VII. “Amicus Reipublicae” to John Mercereau, 1 June 1780",“Amicus Reipublicae”,"Mersereau, John",1780-06-01,GEWN,https://founders.archives.gov/documents/Washington/03-26-02-0041-0008,https://rotunda.upress.virginia.edu/founders/GEWN-03-26-02-0041-0008,RN-PER-0828,55648,"New York City, New York County [N.Y.]",5128581,"40.71427, -74.00597",40.71427,-74.00597,US,United States,New York,,United States > New York
GEWN-03-26-02-0041-0010,"IX. “Amicus Reipublicae” to John Mercereau, 24 June 1780",“Amicus Reipublicae”,"Mersereau, John",1780-06-24,GEWN,https://founders.archives.gov/documents/Washington/03-26-02-0041-0010,https://rotunda.upress.virginia.edu/founders/GEWN-03-26-02-0041-0010,RN-PER-0828,55648,"New York City, New York County [N.Y.]",5128581,"40.71427, -74.00597",40.71427,-74.00597,US,United States,New York,,United States > New York
ADMS-06-11-02-0185,"“Boston” to John Adams, 7 April 1781",“Boston”,"Adams, John",1781-04-07,ADMS,https://founders.archives.gov/documents/Adams/06-11-02-0185,https://rotunda.upress.virginia.edu/founders/ADMS-06-11-02-0185,RN-PER-0829,48298,Amsterdam [Netherlands],2759794,"52.37403, 4.88969",52.37403,4.88969,NL,The Netherlands,North Holland,Gemeente Amsterdam,The Netherlands > North Holland > Gemeente Amsterdam
BNFN-01-29-02-0619,"“Daniel Thomson” to Benjamin Franklin, 29 June 1779",“Daniel Thomson”,"Franklin, Benjamin",1779-06-29,BNFN,https://founders.archives.gov/documents/Franklin/01-29-02-0619,https://rotunda.upress.virginia.edu/founders/BNFN-01-29-02-0619,RN-PER-0830,52222,London [England],2643743,"51.50853, -0.12574",51.50853,-0.12574,GB,United Kingdom,England,Greater London,United Kingdom > England > Greater London
BNFN-01-28-02-0090,"“Job Prince to Benjamin Franklin,” 18 November 1778",“Job Prince”,"Franklin, Benjamin",1778-11-18,BNFN,https://founders.archives.gov/documents/Franklin/01-28-02-0090,https://rotunda.upress.virginia.edu/founders/BNFN-01-28-02-0090,RN-PER-0831,52222,At Sea,,,,,,,,,
GEWN-03-25-02-0408,"John Bolton to George Washington, 8 May 1780",John Bolton,"Washington, George",1780-05-08,GEWN,https://founders.archives.gov/documents/Washington/03-25-02-0408,https://rotunda.upress.virginia.edu/founders/GEWN-03-25-02-0408,RN-PER-0832,59627,"Wethersfield, Hartford County [Conn.]",4845612,"41.71427, -72.65259",41.71427,-72.65259,US,United States,Connecticut,Capitol Planning Region,United States > Connecticut > Capitol Planning Region
BNFN-01-25-02-0225,"“John Webb” to Benjamin Franklin, 17[–24] December 1777",“John Webb”,"Franklin, Benjamin",1777-12-17,BNFN,https://founders.archives.gov/documents/Franklin/01-25-02-0225,https://rotunda.upress.virginia.edu/founders/BNFN-01-25-02-0225,RN-PER-0833,52222,London [England],2643743,"51.50853, -0.12574",51.50853,-0.12574,GB,United Kingdom,England,Greater London,United Kingdom > England > Greater London
BNFN-01-29-02-0223,"“Philantropos” to Benjamin Franklin, 5 April 1779",“Philantropos”,"Franklin, Benjamin",1779-04-05,BNFN,https://founders.archives.gov/documents/Franklin/01-29-02-0223,https://rotunda.upress.virginia.edu/founders/BNFN-01-29-02-0223,RN-PER-0834,52222,Saint-Omer [France],2977845,"50.74834, 2.26091",50.74834,2.26091,FR,France,Hauts-de-France,Pas-de-Calais,France > Hauts-de-France > Pas-de-Calais
BNFN-01-27-02-0091,"“Pierre Libertati” and Other Commission Seekers to Benjamin Franklin, 15 July 1778",“Pierre Libertati”,"Franklin, Benjamin",1778-07-15,BNFN,https://founders.archives.gov/documents/Franklin/01-27-02-0091,https://rotunda.upress.virginia.edu/founders/BNFN-01-27-02-0091,RN-PER-0835,52222,,,,,,,,,,
BNFN-01-23-02-0045,"“une Personne Honneste to Benjamin Franklin,” 25 December 1776",“une Personne Honneste”,"Franklin, Benjamin",1776-12-25,BNFN,https://founders.archives.gov/documents/Franklin/01-23-02-0045,https://rotunda.upress.virginia.edu/founders/BNFN-01-23-02-0045,RN-PER-0837,52222,,,,,,,,,,
BNFN-01-36-02-0350,"“W. R.” to Benjamin Franklin, 31 January 1782",“W. R.”,"Franklin, Benjamin",1782-01-31,BNFN,https://founders.archives.gov/documents/Franklin/01-36-02-0350,https://rotunda.upress.virginia.edu/founders/BNFN-01-36-02-0350,RN-PER-0838,52222,Amsterdam [Netherlands],2759794,"52.37403, 4.88969",52.37403,4.88969,NL,The Netherlands,North Holland,Gemeente Amsterdam,The Netherlands > North Holland > Gemeente Amsterdam
BNFN-01-26-02-0134,"——— d’Abadie to Benjamin Franklin, 28 March 1778","Abadie, —— d’","Franklin, Benjamin",1778-03-28,BNFN,https://founders.archives.gov/documents/Franklin/01-26-02-0134,https://rotunda.upress.virginia.edu/founders/BNFN-01-26-02-0134,RN-PER-0002,52222,Bordeaux [France],3031582,"44.84124, -0.58046",44.84124,-0.58046,FR,France,New Aquitaine,Gironde,France > New Aquitaine > Gironde
ADMS-06-12-02-0259-0001,"Balthasar Elias Abbema to John Adams, 11 April 1782","Abbema, Balthasar Elias","Adams, John",1782-04-11,ADMS,https://founders.archives.gov/documents/Adams/06-12-02-0259-0001,https://rotunda.upress.virginia.edu/founders/ADMS-06-12-02-0259-0001,238815,48298,Amsterdam [Netherlands],2759794,"52.37403, 4.88969",52.37403,4.88969,NL,The Netherlands,North Holland,Gemeente Amsterdam,The Netherlands > North Holland > Gemeente Amsterdam
BNFN-01-28-02-0167,"John Abercromby to Benjamin Franklin, 11 December 1778","Abercromby, John","Franklin, Benjamin",1778-12-11,BNFN,https://founders.archives.gov/documents/Franklin/01-28-02-0167,https://rotunda.upress.virginia.edu/founders/BNFN-01-28-02-0167,RN-PER-0003,52222,Bordeaux [France],3031582,"44.84124, -0.58046",44.84124,-0.58046,FR,France,New Aquitaine,Gironde,France > New Aquitaine > Gironde
BNFN-01-28-02-0211,"John Abercromby to Benjamin Franklin, 24 December 1778","Abercromby, John","Franklin, Benjamin",1778-12-24,BNFN,https://founders.archives.gov/documents/Franklin/01-28-02-0211,https://rotunda.upress.virginia.edu/founders/BNFN-01-28-02-0211,RN-PER-0003,52222,Bordeaux [France],3031582,"44.84124, -0.58046",44.84124,-0.58046,FR,France,New Aquitaine,Gironde,France > New Aquitaine > Gironde
BNFN-01-36-02-0503,"D’Açarq to Benjamin Franklin, 11 March 1782","Acarq, Jean-Pierre d’","Franklin, Benjamin",1782-03-11,BNFN,https://founders.archives.gov/documents/Franklin/01-36-02-0503,https://rotunda.upress.virginia.edu/founders/BNFN-01-36-02-0503,RN-PER-0004,52222,Aire-sur-la-Lys [France],3038393,"50.63871, 2.39876",50.63871,2.39876,FR,France,Hauts-de-France,Pas-de-Calais,France > Hauts-de-France > Pas-de-Calais
FOEA-01-02-02-4610,"To George Washington from John Adam, 10 February 1783","Adam, John (of NJ)","Washington, George",1783-02-10,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-4610,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-4610,301203,59627,"Elizabethtown, Essex County [N.J.]",5097598,"40.66399, -74.21070",40.66399,-74.2107,US,United States,New Jersey,Union County,United States > New Jersey > Union County
ADMS-06-06-02-0065-0001,"Adam to John Adams, 5 May 1778","Adam, Mr.","Adams, John",1778-05-05,ADMS,https://founders.archives.gov/documents/Adams/06-06-02-0065-0001,https://rotunda.upress.virginia.edu/founders/ADMS-06-06-02-0065-0001,238829,48298,Charlieu [France],3026610,"46.16202, 4.17228",46.16202,4.17228,FR,France,Rhône-Alpes,Loire,France > Rhône-Alpes > Loire
GEWN-02-08-02-0328,"Robert Adam to George Washington, 24 June 1771","Adam, Robert","Washington, George",1771-06-24,GEWN,https://founders.archives.gov/documents/Washington/02-08-02-0328,https://rotunda.upress.virginia.edu/founders/GEWN-02-08-02-0328,48273,59627,,,,,,,,,,
GEWN-02-09-02-0249,"Robert Adam to George Washington, 16 September 1773","Adam, Robert","Washington, George",1773-09-16,GEWN,https://founders.archives.gov/documents/Washington/02-09-02-0249,https://rotunda.upress.virginia.edu/founders/GEWN-02-09-02-0249,48273,59627,,,,,,,,,,
GEWN-02-09-02-0329,"Robert Adam to George Washington, 9 January 1774","Adam, Robert","Washington, George",1774-01-09,GEWN,https://founders.archives.gov/documents/Washington/02-09-02-0329,https://rotunda.upress.virginia.edu/founders/GEWN-02-09-02-0329,48273,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
GEWN-02-09-02-0334,"Robert Adam to George Washington, 12 January 1774","Adam, Robert","Washington, George",1774-01-12,GEWN,https://founders.archives.gov/documents/Washington/02-09-02-0334,https://rotunda.upress.virginia.edu/founders/GEWN-02-09-02-0334,48273,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
GEWN-02-09-02-0337,"Robert Adam to George Washington, 13 January 1774","Adam, Robert","Washington, George",1774-01-13,GEWN,https://founders.archives.gov/documents/Washington/02-09-02-0337,https://rotunda.upress.virginia.edu/founders/GEWN-02-09-02-0337,48273,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
GEWN-02-09-02-0356,"Robert Adam to George Washington, 14 February 1774","Adam, Robert","Washington, George",1774-02-14,GEWN,https://founders.archives.gov/documents/Washington/02-09-02-0356,https://rotunda.upress.virginia.edu/founders/GEWN-02-09-02-0356,48273,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
GEWN-02-10-02-0048,"Robert Adam to George Washington, 17 May 1774","Adam, Robert","Washington, George",1774-05-17,GEWN,https://founders.archives.gov/documents/Washington/02-10-02-0048,https://rotunda.upress.virginia.edu/founders/GEWN-02-10-02-0048,48273,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
GEWN-02-10-02-0163,"Robert Adam to George Washington, 7 January 1775","Adam, Robert","Washington, George",1775-01-07,GEWN,https://founders.archives.gov/documents/Washington/02-10-02-0163,https://rotunda.upress.virginia.edu/founders/GEWN-02-10-02-0163,48273,59627,,,,,,,,,,
GEWN-03-14-02-0424,"Robert Adam to George Washington, 10 April 1778","Adam, Robert","Washington, George",1778-04-10,GEWN,https://founders.archives.gov/documents/Washington/03-14-02-0424,https://rotunda.upress.virginia.edu/founders/GEWN-03-14-02-0424,48273,59627,"Center House, Alexandria [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
FOEA-01-02-02-4462,"To George Washington from Robert Adam, 21 January 1783","Adam, Robert","Washington, George",1783-01-21,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-4462,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-4462,48273,59627,"Philadelphia, Philadelphia County [Pa.]",4560349,"39.95238, -75.16362",39.95238,-75.16362,US,United States,Pennsylvania,Philadelphia County,United States > Pennsylvania > Philadelphia County
FOEA-01-02-02-6232,"To George Washington from Robert Adam, 26 December 1783","Adam, Robert; Ryan, Michael","Washington, George",1783-12-26,EA,https://founders.archives.gov/documents/Washington/99-01-02-02-6232,https://rotunda.upress.virginia.edu/founders/FOEA-01-02-02-6232,48273; 57706,59627,"Alexandria, Fairfax County [Va.]",4744091,"38.80484, -77.04692",38.80484,-77.04692,US,United States,Virginia,City of Alexandria,United States > Virginia > City of Alexandria
BNFN-01-28-02-0345,"——— Adamoli to Benjamin Franklin, 22 January 1779","Adamoli, Mr.","Franklin, Benjamin",1779-01-22,BNFN,https://founders.archives.gov/documents/Franklin/01-28-02-0345,https://rotunda.upress.virginia.edu/founders/BNFN-01-28-02-0345,347102,52222,Paris [France],2988507,"48.85341, 2.34880",48.85341,2.3488,FR,France,Île-de-France,Paris,France > Île-de-France > Paris
ADMS-04-01-02-0058,"Abigail Adams to Isaac Smith Jr., 20 April 1771","Adams, Abigail Smith","Smith, Isaac, Jr.",1771-04-20,ADMS,https://founders.archives.gov/documents/Adams/04-01-02-0058,https://rotunda.upress.virginia.edu/founders/ADMS-04-01-02-0058,48276,58180,"Braintree (Adams Family Residences), Norfolk County [Mass.]",4928748,"42.25659, -71.01255",42.25659,-71.01255,US,United States,Massachusetts,Norfolk County,United States > Massachusetts > Norfolk County
ADMS-04-01-02-0063,"Abigail Adams to Mercy Otis Warren, 16 July 1773","Adams, Abigail Smith","Warren, Mercy Otis",1773-07-16,ADMS,https://founders.archives.gov/documents/Adams/04-01-02-0063,https://rotunda.upress.virginia.edu/founders/ADMS-04-01-02-0063,48276,59598,"Boston, Suffolk County [Mass.]",4930956,"42.35843, -71.05977",42.35843,-71.05977,US,United States,Massachusetts,Suffolk County,United States > Massachusetts > Suffolk County
